,timestamp,course_enrolled,heard_about_CCM_website,heard_about_CCM_social_media,heard_about_CCM_community_event,heard_about_CCM_family_friend,heard_about_CCM_current_student,heard_about_CCM_alumni,heard_about_CCM_high_school_teacher,heard_about_CCM_high_school_counselor,heard_about_CCM_in_app_ad,heard_about_CCM_employer,heard_about_CCM_billboard,heard_about_CCM_television,heard_about_CCM_radio,heard_about_CCM_other,impact_affordable_cost,impact_location_convenience,impact_choice_of_programs,impact_online_offerings,impact_family_friend_referral,impact_faculty_staff,impact_college_reputation,impact_financial_aid,impact_scholarships,impact_small_class_sizes,impact_extra_curricular_opportunities,impact_accepted_transfer_credits,impact_negative_experience_other_college,impact_NJ_stars_program,impact_transfer_CCM_credits_4_year,impact_credit_in_high_school,participation_open_house,participation_instant_decision_day,participation_on_campus_info_session,participation_titans_tuesday_virtual_info_session,participation_women_who_dare,participation_regional_college_fair,participation_hs_sharetime_info_session,participation_challenger_program,participation_cybersecurity_program,participation_info_session_high_school,participation_campus_visit_high_school,participation_campus_visit_individual,participation_workforce_development_class,participation_corporate_training,participation_teen_arts_festival,participation_summer_camp_CCM,impact_hs_computing_class,impact_hs_computing_club,impact_computing_competition,impact_afterschool_computing_program,impact_summer_computing_program,impact_ap_computing_class,impact_dual_enrollment_computing_class,impact_family_friend_influence,impact_family_friend_computing_field,impact_hs_teacher_counselor,impact_employer_influence,impact_current_ccm_student,impact_work_experience,impact_other,current_degree_program,motivation_get_job_computing,motivation_transfer_bachelors,motivation_transfer_credits_hs,motivation_career_advancement,motivation_career_change,motivation_professional_dev,motivation_job_displacement,motivation_relocation,motivation_keep_current_tech,motivation_it_certifications,motivation_financial,motivation_personal_enrichment,info_source_hs_counselor,info_source_hs_teacher,info_source_ccm_it_website,info_source_ccm_admissions,info_source_ccm_advisor,info_source_employer,info_source_ccm_workforce_dev,info_source_nj_workforce_dev,info_source_other,first_choice_or_major_change,interest_more_computing_classes,explain_interest_computing_classes,gender,race_ethnicity,Age
56,2024/09/11 2:10:39 PM AST,CMP 128 Computer Science I,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,1,0,-1,0,-1,-1,-1,1,1,0,-1,0,-1,-1,IT,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,First Choice,,,Man,White/Caucasian,18 and younger
57,2024/09/11 2:11:50 PM AST,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,,,,,,1,,,1,,,,,ShareTime CSIP Program,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,,,,Man,American Indian/Native American/Alaska Native;White/Caucasian,18 and younger
58,2024/09/11 2:13:37 PM AST,CMP 128 Computer Science I,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,IT,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,First Choice,,,Woman,Choose not to reply,18 and younger
59,2024/09/11 2:17:55 PM AST,CMP 128 Computer Science I,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,1,-1,-1,-1,1,1,0,0,1,-1,-1,-1,-1,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,First Choice,,,Man,Choose not to reply,18 and younger
60,2024/09/11 2:18:07 PM AST,CMP 128 Computer Science I,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,0,1,1,,,,0,,,0,,,,,,1,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,Challenger Program,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,First Choice,,,Woman,Asian,18 and younger
61,2024/09/11 2:18:23 PM AST,CMP 128 Computer Science I,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,1,1,,,,,,,,,,,,,,,No,No,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,Computer Science,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,First Choice,,,Man,Black/African American,18 and younger
62,2024/09/11 2:18:33 PM AST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Game Development,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,First Choice,,,Man,Hispanic or Latino;White/Caucasian,21-24
63,2024/09/11 2:18:39 PM AST,CMP 128 Computer Science I,Yes,Don't recall,No,No,Yes,No,No,No,No,No,No,No,No,No,1,1,1,1,1,0,-1,-1,-1,0,0,-1,-1,-1,1,-1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,Electrical Engineering,,,,,,,,,,,,,,,,,,,,,,,4,I want to learn more about it,Man,White/Caucasian,18 and younger
64,2024/09/11 2:19:20 PM AST,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,1,1,1,,,,,1,,,,,,,1,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business Administration,,,,,,,,,,,,,,,,,,,,,,,2,I don't really have a fundamental interest in these courses but the information in CMP 128 is kind of intriguing.,Man,White/Caucasian,19-20
65,2024/09/11 2:19:35 PM AST,CMP 128 Computer Science I,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,-1,1,1,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Mechanical engineering technology,,,,,,,,,,,,,,,,,,,,,,,3,I probably wouldn’t take class if i didn’t need to but it seems interesting so far.,Man,Hispanic or Latino;Black/African American,18 and younger
66,2024/09/11 2:19:39 PM AST,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,1,1,1,0,1,-1,1,1,1,-1,-1,1,-1,-1,1,1,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Engineering,,,Man,White/Caucasian,18 and younger
67,2024/09/11 2:19:57 PM AST,CMP 128 Computer Science I,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,0,0,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,1,1,1,-1,1,-1,1,0,1,-1,-1,-1,1,Computer Science,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,First Choice,,,Man,Asian,19-20
68,2024/09/11 2:20:20 PM AST,CMP 128 Computer Science I,Yes,No,No,Yes,Don't recall,No,Yes,Yes,No,No,No,No,No,No,0,0,1,-1,0,0,1,1,1,-1,0,0,-1,-1,1,-1,Not Sure,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,0,1,-1,0,0,-1,-1,0,1,-1,-1,-1,-1,-1,Game Development,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Don't recall,Don't recall,No,No,No,No,First Choice,,,Man,Black/African American,18 and younger
69,2024/09/11 2:20:23 PM AST,CMP 128 Computer Science I,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,1,1,1,0,1,1,1,1,,,,1,,,1,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,1,,,,,,,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Don't recall,Don't recall,No,No,First Choice,,,Man,White/Caucasian,21-24
70,2024/09/11 2:20:59 PM AST,CMP 128 Computer Science I,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,1,1,0,-1,0,-1,-1,1,0,-1,-1,-1,-1,-1,1,-1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,Electronics Technolgies Engineering,,,,,,,,,,,,,,,,,,,,,,,2,"Im personally someone who likes the more hands on approach of working with things, i feel like i have an easier understanding when i can get my hands on it",Man,Hispanic or Latino;White/Caucasian,19-20
71,2024/09/11 2:21:01 PM AST,CMP 128 Computer Science I,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,0,1,0,-1,1,1,1,1,1,-1,0,-1,-1,-1,1,-1,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,0,0,0,,,,1,,1,1,,,0,,Game Development,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Don't recall,First Choice,,,Man,Hispanic or Latino;Asian,18 and younger
72,2024/09/11 2:21:39 PM AST,CMP 128 Computer Science I,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,,0,0,0,-1,-1,0,,0,-1,-1,-1,-1,-1,1,-1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-1,-1,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,First Choice,,,Man,White/Caucasian,18 and younger
73,2024/09/11 2:24:14 PM AST,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,Yes,No,Not Sure,Not Sure,No,No,No,No,No,No,No,No,No,No,No,No,1,-1,-1,-1,0,1,-1,0,-1,-1,-1,-1,-1,-1,Computer Science,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Don't recall,Don't recall,No,No,No,Don't recall,Science,,,Man,White/Caucasian,19-20
74,2024/09/11 4:09:16 PM AST,CMP 128 Computer Science I,Yes,Yes,Yes,Yes,Yes,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,No,No,No,0,0,0,0,,0,0,0,0,-1,0,,,0,1,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,-1,-1,-1,-1,0,0,-1,-1,0,-1,-1,IT,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Don't recall,Don't recall,Yes,Don't recall,Don't recall,No,Don't recall,Don't recall,No,First Choice,,,Man,Asian,19-20
75,2024/09/11 4:59:16 PM AST,CMP 131 Fundamentals of Programming (Python),No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0,0,1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Non Degree Seeking,,,,,,,,,,,,,,,,,,,,,,,4,also looking to hone my skills,Man,White/Caucasian,25-34
76,2024/09/11 6:42:01 PM AST,CMP 131 Fundamentals of Programming (Python),Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,0,0,0,0,0,0,0,,,,,,,,0,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,,,,,,,,,,,,,,Data Analytics,,,,,,,,,,,,,,,,,,,,,,,5,I believe learning multiple programming languages would be very useful for my career.,Man,White/Caucasian,18 and younger
77,2024/09/12 10:38:36 AM AST,CMP 128 Computer Science I,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,0,1,1,1,1,1,1,0,0,1,1,1,1,1,Computer Science,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,LIberal Arts,,,Man,Black/African American,18 and younger
78,2024/09/12 10:38:38 AM AST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,Business,,,,,,,,,,,,,,,,,,,,,,,3,"I find it interesting however in wouldn't help me with my major
",Man,White/Caucasian,21-24
79,2024/09/12 10:38:40 AM AST,CMP 128 Computer Science I,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,1,1,1,1,-1,-1,-1,1,1,0,1,-1,-1,-1,1,-1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,First Choice,,,Man,Hispanic or Latino,19-20
80,2024/09/12 10:39:06 AM AST,CMP 128 Computer Science I,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,,,-1,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Yes,Not Sure,Not Sure,Not Sure,-1,-1,-1,-1,-1,-1,-1,1,1,-1,,,,,Computer Science,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,First Choice,,,Woman,Hispanic or Latino,25-34
81,2024/09/12 10:39:09 AM AST,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,1,0,0,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,Computer Science,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,First Choice,,,Man,Hispanic or Latino;White/Caucasian,18 and younger
82,2024/09/12 10:39:12 AM AST,CMP 128 Computer Science I,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,,,,,,,,,,,,,,,,1,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,,,,,,,0,,,,,,-1,High School,,,,,,,,,,,,,,,,,,,,,,,5,I am interested because I am looking to major in Comp Sci or Cybersecurity when I go to college,Man,American Indian/Native American/Alaska Native,18 and younger
